title,type,price,in_stock,image,size,length,diameter,url,country
Marca Fina Brazil Robusto,bundle (16 pcs),40.35,True,https://www.hacico.de/images/product_images/info_images/3080_0.JPG,,4.88,0.79,https://www.hacico.de/en/Cigars/Brazil/Marca-Fina-Brazil/Marca-Fina-Brazil-Robusto.html,Brazil
Marca Fina Brazil Corona,single,2.45,True,https://www.hacico.de/images/product_images/info_images/3081_0.JPG,,5.83,0.63,https://www.hacico.de/en/Cigars/Brazil/Marca-Fina-Brazil/Marca-Fina-Brazil-Corona.html,Brazil
Marca Fina Brazil Corona,bundle (16 pcs),38.02,True,https://www.hacico.de/images/product_images/info_images/3081_0.JPG,,5.83,0.63,https://www.hacico.de/en/Cigars/Brazil/Marca-Fina-Brazil/Marca-Fina-Brazil-Corona.html,Brazil
Marca Fina Brazil Churchill,single,2.8,True,https://www.hacico.de/images/product_images/info_images/3082_0.JPG,,6.42,0.75,https://www.hacico.de/en/Cigars/Brazil/Marca-Fina-Brazil/Marca-Fina-Brazil-Churchill.html,Brazil
Marca Fina Brazil Churchill,bundle (16 pcs),43.46,True,https://www.hacico.de/images/product_images/info_images/3082_0.JPG,,6.42,0.75,https://www.hacico.de/en/Cigars/Brazil/Marca-Fina-Brazil/Marca-Fina-Brazil-Churchill.html,Brazil
Marca Fina Brazil Robusto Breve,single,2.25,True,https://www.hacico.de/images/product_images/info_images/3084_0.JPG,,3.78,0.83,https://www.hacico.de/en/Cigars/Brazil/Marca-Fina-Brazil/Marca-Fina-Brazil-Robusto-Breve.html,Brazil
Marca Fina Brazil Robusto Breve,bundle (16 pcs),34.92,True,https://www.hacico.de/images/product_images/info_images/3084_0.JPG,,3.78,0.83,https://www.hacico.de/en/Cigars/Brazil/Marca-Fina-Brazil/Marca-Fina-Brazil-Robusto-Breve.html,Brazil
Monte Pascoal Belicoso,single,8.2,True,https://www.hacico.de/images/product_images/info_images/no_img_big.jpg,,5.5,0.81,https://www.hacico.de/en/Cigars/Brazil/Monte-Pascoal/Monte-Pascoal-Belicoso.html,Brazil
Monte Pascoal Corona,box (20 pcs),112.44,True,https://www.hacico.de/images/product_images/info_images/no_img_big.jpg,,5.63,0.66,https://www.hacico.de/en/Cigars/Brazil/Monte-Pascoal/Monte-Pascoal-Corona.html,Brazil
Monte Pascoal Corona,single,5.65,True,https://www.hacico.de/images/product_images/info_images/no_img_big.jpg,,5.63,0.66,https://www.hacico.de/en/Cigars/Brazil/Monte-Pascoal/Monte-Pascoal-Corona.html,Brazil
Monte Pascoal Double Corona,single,9.2,True,https://www.hacico.de/images/product_images/info_images/no_img_big.jpg,,7.63,0.76,https://www.hacico.de/en/Cigars/Brazil/Monte-Pascoal/Monte-Pascoal-Double-Corona.html,Brazil
Monte Pascoal Petit Robusto,single,5.6,True,https://www.hacico.de/images/product_images/info_images/no_img_big.jpg,,4.0,0.78,https://www.hacico.de/en/Cigars/Brazil/Monte-Pascoal/Monte-Pascoal-Petit-Robusto.html,Brazil
Monte Pascoal Robusto,single,6.8,True,https://www.hacico.de/images/product_images/info_images/no_img_big.jpg,,4.87,0.78,https://www.hacico.de/en/Cigars/Brazil/Monte-Pascoal/Monte-Pascoal-Robusto.html,Brazil
Monte Pascoal Robusto,box (10 pcs),66.68,True,https://www.hacico.de/images/product_images/info_images/no_img_big.jpg,,4.87,0.78,https://www.hacico.de/en/Cigars/Brazil/Monte-Pascoal/Monte-Pascoal-Robusto.html,Brazil
Regalia Fina Sao Goncalo,single,5.1,True,https://www.hacico.de/images/product_images/info_images/no_img_big.jpg,,4.72,0.7,https://www.hacico.de/en/Cigars/Brazil/Regalia-Fina/Regalia-Fina-Sao-Goncalo.html,Brazil
Regalia Fina Sao Goncalo,box (25 pcs),123.67,True,https://www.hacico.de/images/product_images/info_images/no_img_big.jpg,,4.72,0.7,https://www.hacico.de/en/Cigars/Brazil/Regalia-Fina/Regalia-Fina-Sao-Goncalo.html,Brazil
Regalia Fina Sao Felipe,single,7.2,True,https://www.hacico.de/images/product_images/info_images/no_img_big.jpg,,4.84,0.75,https://www.hacico.de/en/Cigars/Brazil/Regalia-Fina/Regalia-Fina-Sao-Felipe.html,Brazil
Regalia Fina Sao Felipe,box (25 pcs),174.6,True,https://www.hacico.de/images/product_images/info_images/no_img_big.jpg,,4.84,0.75,https://www.hacico.de/en/Cigars/Brazil/Regalia-Fina/Regalia-Fina-Sao-Felipe.html,Brazil
Villiger San Doro Maduro Toro,single,14.4,True,https://www.hacico.de/images/product_images/info_images/6981_0.JPG,,5.87,0.81,https://www.hacico.de/en/Cigars/Brazil/Villiger-San-Doro-Maduro/Villiger-San-Doro-Maduro-Toro.html,Brazil
Woermann Cigars Limitada Arapiraca,single,3.5,True,https://www.hacico.de/images/product_images/info_images/no_img_big.jpg,,5.91,0.55,https://www.hacico.de/en/Cigars/Brazil/Woermann-Cigars-Lim-Arapiraca/Woermann-Cigars-Limitada-Arapiraca.html,Brazil
Woermann Cigars Limitada Arapiraca,box (10 pcs),33.95,True,https://www.hacico.de/images/product_images/info_images/no_img_big.jpg,,5.91,0.55,https://www.hacico.de/en/Cigars/Brazil/Woermann-Cigars-Lim-Arapiraca/Woermann-Cigars-Limitada-Arapiraca.html,Brazil
Brun del Re Limitada 1638 Gran Toro,single,10.5,True,https://www.hacico.de/images/product_images/info_images/6956_0.JPG,,5.0,0.91,https://www.hacico.de/en/Cigars/Costa-Rica/Brun-del-Re/Brun-del-Re-Limitada-1638-Gran-Toro.html,Costa Rica
Flor Real Petit Corona,single,4.1,True,https://www.hacico.de/images/product_images/info_images/332_0.jpg,,4.88,0.59,https://www.hacico.de/en/Cigars/Costa-Rica/Flor-Real/Flor-Real-Petit-Corona.html,Costa Rica
Flor Real Petit Corona,box (50 pcs),198.85,True,https://www.hacico.de/images/product_images/info_images/332_0.jpg,,4.88,0.59,https://www.hacico.de/en/Cigars/Costa-Rica/Flor-Real/Flor-Real-Petit-Corona.html,Costa Rica
Sueños Azul Petit Corona (blue),single,3.1,True,https://www.hacico.de/images/product_images/info_images/335_0.jpg,['Petit Coronas'],3.94,0.63,https://www.hacico.de/en/Cigars/Costa-Rica/SueAos/SueAos-Azul-Petit-Corona-blue.html,Costa Rica
Sueños Azul Petit Corona (blue),box (50 pcs),150.35,True,https://www.hacico.de/images/product_images/info_images/335_0.jpg,['Petit Coronas'],3.94,0.63,https://www.hacico.de/en/Cigars/Costa-Rica/SueAos/SueAos-Azul-Petit-Corona-blue.html,Costa Rica
Sueños Azul Robusto Junior (blue),single,5.1,True,https://www.hacico.de/images/product_images/info_images/336_0.jpg,,4.53,0.75,https://www.hacico.de/en/Cigars/Costa-Rica/SueAos/SueAos-Azul-Robusto-Junior-blue.html,Costa Rica
Sueños Azul Robusto Junior (blue),box (20 pcs),98.94,True,https://www.hacico.de/images/product_images/info_images/336_0.jpg,,4.53,0.75,https://www.hacico.de/en/Cigars/Costa-Rica/SueAos/SueAos-Azul-Robusto-Junior-blue.html,Costa Rica
Sueños Oro Petit (white),single,3.1,True,https://www.hacico.de/images/product_images/info_images/338_0.jpg,,3.94,0.63,https://www.hacico.de/en/Cigars/Costa-Rica/SueAos/SueAos-Oro-Petit-white.html,Costa Rica
Sueños Oro Robusto Junior (white),single,5.1,True,https://www.hacico.de/images/product_images/info_images/339_0.jpg,,4.53,0.75,https://www.hacico.de/en/Cigars/Costa-Rica/SueAos/SueAos-Oro-Robusto-Junior-white.html,Costa Rica
Sueños Oro Robusto Junior (white),box (20 pcs),98.94,True,https://www.hacico.de/images/product_images/info_images/339_0.jpg,,4.53,0.75,https://www.hacico.de/en/Cigars/Costa-Rica/SueAos/SueAos-Oro-Robusto-Junior-white.html,Costa Rica
Vegas de Santiago D8 Petit Robusto,single,6.2,True,https://www.hacico.de/images/product_images/info_images/no_img_big.jpg,,4.0,0.78,https://www.hacico.de/en/Cigars/Costa-Rica/Vegas-de-Santiago-D8/Vegas-de-Santiago-D8-Petit-Robusto.html,Costa Rica
Vegas de Santiago D8 Petit Robusto,box (20 pcs),120.28,True,https://www.hacico.de/images/product_images/info_images/no_img_big.jpg,,4.0,0.78,https://www.hacico.de/en/Cigars/Costa-Rica/Vegas-de-Santiago-D8/Vegas-de-Santiago-D8-Petit-Robusto.html,Costa Rica
Vegas de Santiago D8 Robusto,single,6.9,True,https://www.hacico.de/images/product_images/info_images/no_img_big.jpg,,5.0,0.78,https://www.hacico.de/en/Cigars/Costa-Rica/Vegas-de-Santiago-D8/Vegas-de-Santiago-D8-Robusto.html,Costa Rica
Vegas de Santiago D8 Robusto,box (20 pcs),133.86,True,https://www.hacico.de/images/product_images/info_images/no_img_big.jpg,,5.0,0.78,https://www.hacico.de/en/Cigars/Costa-Rica/Vegas-de-Santiago-D8/Vegas-de-Santiago-D8-Robusto.html,Costa Rica
Vegas de Santiago D8 Wide Churchill,single,8.5,True,https://www.hacico.de/images/product_images/info_images/7887_0.JPG,,5.5,0.87,https://www.hacico.de/en/Cigars/Costa-Rica/Vegas-de-Santiago-D8/Vegas-de-Santiago-D8-Wide-Churchill.html,Costa Rica
Vegas de Santiago D8 Wide Churchill,box (20 pcs),164.9,True,https://www.hacico.de/images/product_images/info_images/7887_0.JPG,,5.5,0.87,https://www.hacico.de/en/Cigars/Costa-Rica/Vegas-de-Santiago-D8/Vegas-de-Santiago-D8-Wide-Churchill.html,Costa Rica
Vegas de Santiago D8 Figurado,single,8.5,True,https://www.hacico.de/images/product_images/info_images/7888_0.JPG,,6.0,0.91,https://www.hacico.de/en/Cigars/Costa-Rica/Vegas-de-Santiago-D8/Vegas-de-Santiago-D8-Figurado.html,Costa Rica
